Method,w,t,beta,overall,training time
SGD,0.5585544565912814,0.6015084598116872,0.24741413486048625,0.4691590170878182,9.209729566957591
SGD with gamma_n decayed,0.07062456481431853,0.05947974495368163,0.045804948443194465,0.058636419403731536,9.88466050023426
ASGD with gamma_n decayed,0.03652089523592628,0.04959829401722176,0.0653431300167285,0.05048743975662552,9.88466050023426
Batch SGD,0.05837940284632639,0.04758132007830357,0.07248062054101069,0.05948044782188022,0.134097812593077
Batch SGD with gamma_n decayed,0.25588158894924845,0.2522752067121731,0.3801549929266482,0.2961039295293565,0.14010337649507826
Batch ASGD with gamma_n decayed,0.3585777214255696,0.3622047387464732,0.5737975077835813,0.43152665598520795,0.14010337649507826
